Row, Sol
1408, 3.755613e-12
1409, 3.326828e-12
1410, 2.567404e-12
1411, 1.771440e-12
1412, 1.114119e-12
1413, 6.484064e-13
1414, 3.534491e-13
1415, 1.822671e-13
1416, 8.967160e-14
1417, 4.239520e-14
1418, 1.938393e-14
1419, 8.618918e-15
1420, 3.745384e-15
1421, 1.597636e-15
1422, 6.715506e-16
1423, 2.791038e-16
1424, 1.150241e-16
1425, 4.711649e-17
1426, 1.921773e-17
1427, 7.814478e-18
1428, 3.169583e-18
1429, 1.282143e-18
1430, 5.204640e-19
1431, -1.671813e-07
1432, -1.324870e-07
1433, 3.853844e-07
1434, 1.014543e-06
1435, 1.311774e-06
1436, 1.203469e-06
1437, 8.802171e-07
1438, 5.442341e-07
1439, 2.948348e-07
1440, 1.434037e-07
1441, 6.374734e-08
1442, 2.625495e-08
1443, 1.012788e-08
1444, 3.691760e-09
1445, 1.281065e-09
1446, 4.258551e-10
1447, 1.363503e-10
1448, 4.224724e-11
1449, 1.271980e-11
1450, 3.734915e-12
1451, 1.072990e-12
1452, 3.024543e-13
1453, 8.386216e-14
1454, 2.292332e-14
1455, 6.189276e-15
1456, 1.653445e-15
1457, 4.376871e-16
1458, 1.149488e-16
1459, 2.998249e-17
1460, 7.773728e-18
1461, 2.004895e-18
1462, 5.146406e-19
1463, 1.313741e-19
1464, 2.915844e-20
1465, 3.441358e-19
1466, -1.393731e-17
1467, 4.228675e-16
1468, 1.718560e-14
1469, 1.483111e-13
1470, 4.682680e-13
1471, 8.920130e-13
1472, 1.229860e-12
1473, 1.345625e-12
1474, 1.234496e-12
1475, 9.849319e-13
1476, 7.013743e-13
1477, 4.545364e-13
1478, 2.721778e-13
1479, 1.524452e-13
1480, 8.067712e-14
1481, 4.068995e-14
1482, 1.970317e-14
1483, 9.219497e-15
1484, 4.192596e-15
1485, 1.862388e-15
1486, 8.117655e-16
1487, 3.485790e-16
1488, 1.479790e-16
1489, 6.229097e-17
1490, 2.606416e-17
1491, 1.086120e-17
1492, 4.513159e-18
1493, 1.871160e-18
1494, 7.739363e-19
1495, 3.216987e-19
1496, -4.593221e-08
1497, -6.011867e-08
1498, 7.619880e-08
1499, 2.968293e-07
1500, 4.494586e-07
1501, 4.637856e-07
